headline,date,url,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump announces 25% tariff on India and unspecified penalties for buying Russian energy,7/30/2025,https://apnews.com/article/trump-tariffs-russia-india-9e388a55583e7007149819c52f0fd71b,"President Donald Trump says he’ll impose a 25% tariff on goods from India, plus an additional import tax because of India’s purchasing of Russian oil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grateful Dead toasts its 60th with concerts at San Francisco’s Golden Gate Park,7/30/2025,https://apnews.com/article/grateful-dead-60th-anniversary-san-francisco-a607472bd5a08bec5d9409ea6f6b0a4d,Tens of thousands of Deadheads are pouring into San Francisco for three days of Dead & Company concerts in honor of the Grateful Dead’s 60th anniversary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores of Palestinians risk their lives to retrieve air dropped aid from the sea,7/30/2025,https://apnews.com/video/scores-of-palestinians-risk-their-lives-to-retrieve-air-dropped-aid-from-the-sea-8e9ea0a8ea1b4b9b8cc4ffcf8671fbb1,Scores of Palestinians risk their lives to retrieve air dropped aid from the sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US economy rebounds a surprisingly strong 3% in the second quarter,7/30/2025,https://apnews.com/article/us-economy-growth-tariffs-629549a1e77e6f1823adbcd5ccf78941,"The U.S. economy expanded at a surprising 3% annual pace from April through June, bouncing back at least temporarily from a first-quarter drop that reflected disruptions arising from President Donald Trump’s trade wars.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protests in an eastern Yemen province intesify over prolonged power outages,7/30/2025,https://apnews.com/article/yemen-mukalla-hadramout-province-electricity-protests-arrests-758259253f20488e62d1f980d29e6479,Protests in eastern Yemen have intensified for a third consecutive day as residents demonstrate against long power outages during scorching heat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russian missiles hit a Ukrainian army training ground, killing at least 3 soldiers",7/30/2025,https://apnews.com/article/russia-ukraine-war-attack-military-civilians-trump-d3622886e7f30278d12431d20dd77fb2,Authorities say a Russian missile hit a Ukrainian army training ground in an attack that killed three soldiers and wounded 18 others.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicaid was signed into law 60 years ago. Trump’s big bill is chiseling it back,7/30/2025,https://apnews.com/article/trump-big-bill-medicaid-cuts-snap-ed0d2c7c20b43c54265dbc9cb215b647,"This summer, President Donald Trump has begun to chisel back Medicaid and food stamps. On a July day in 1965, President Lyndon B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 countries apply for EU billions as Europe seeks to provide for its own security without the US,7/30/2025,https://apnews.com/article/europe-defense-fund-russia-ukraine-trump-35b387b8eb78cbbdf20d3eb21d80b9e8,The European Commission says 18 EU countries have so far applied for billions of euros from a new defense fund aimed at helping Europe provide for its own security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What’s behind the deadly border clashes between Thailand and Cambodia,7/30/2025,https://apnews.com/article/thailand-cambodia-border-conflict-explainer-0eb99510a4ea16ee769a5934e0c07383,Thailand and Cambodia have implemented a ceasefire intended to end five days of armed combat over disputed territory along their border.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand and Cambodia reaffirm ceasefire after China-brokered meeting in Shanghai,7/30/2025,https://apnews.com/article/thailand-cambodia-ceasefire-china-brokered-1970718e765717be6f7e3f69e0c006f3,Thailand and Cambodia have reaffirmed their shaky ceasefire after days of fighting along their border.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
